,course_id,semester,name,dept_id,department,credits,description,grading_method,gen_ed,core,sections,relationships.coreqs,relationships.prereqs,relationships.formerly,relationships.restrictions,relationships.additional_info,relationships.also_offered_as,relationships.credit_granted_for
0,AASP100,202308,Introduction to African American Studies,AASP,African American Studies,3,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies.","['Regular', 'Pass-Fail', 'Audit']","[['DSHS', 'DVUP']]","['SH', 'D']","['AASP100-0201', 'AASP100-0501', 'AASP100-0101', 'AASP100-0301', 'AASP100-0401', 'AASP100-0601']",,,,,,,
1,AASP100H,202308,Introduction to African American Studies,AASP,African American Studies,3,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies.","['Regular', 'Pass-Fail', 'Audit']","[['DSHS', 'DVUP']]","['SH', 'D']",['AASP100H-0101'],,,,,,,
2,AASP101,202308,Public Policy and the Black Community,AASP,African American Studies,3,"The impact of public policies on the black community and the role of the policy process in affecting the social, economic and political well-being of minorities. Particular attention given to the post-1960 to present era.","['Regular', 'Pass-Fail']",[['DSHS']],['SB'],['AASP101-0101'],,,AASP300.,,,,
3,AASP200,202308,African Civilization,AASP,African American Studies,3,A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization.,"['Regular', 'Pass-Fail', 'Audit']",[['DSHU']],['H'],"['AASP200-0101', 'AASP200-FC01']",,,,,,,
4,AASP202,202308,Black Culture in the United States,AASP,African American Studies,3,"The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of black creative expression from the 19th-century to the present.","['Regular', 'Pass-Fail', 'Audit']","[['DSHS', 'DVUP']]","['SH', 'D']","['AASP202-0101', 'AASP202-0102', 'AASP202-0103', 'AASP202-0104']",,,,,,,
5,AASP202H,202308,Black Culture in the United States,AASP,African American Studies,3,"The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of black creative expression from the 19th-century to the present.","['Regular', 'Pass-Fail', 'Audit']","[['DSHS', 'DVUP']]","['SH', 'D']",['AASP202H-0101'],,,,,,,
6,AASP210,202308,Intro to Research Design and Analysis in African American Studies,AASP,African American Studies,3,"Introduces students to quantitative and qualitative research methods used in social science with a focus on Black populations and African American Studies Research. Uses practical exercises, such as class surveys and mock focus groups, to examine fundamental concepts of the research process from conceptualization of research questions to interpretation of data and research articles. The course is designed for undergraduate students with little or no background knowledge in social science research methods.","['Regular', 'Pass-Fail', 'Audit']",[],[],['AASP210-0101'],,,,,,,
7,AASP230,202308,Social (In)Justice and African-American Health and Well-Being,AASP,African American Studies,3,"African Americans suffer worse outcomes than non-Hispanic whites on nearly every health measure and outcomes that link to overall well-being like depressive symptoms or homicides. Health disparities are experienced by other underrepresented minority groups, but because of the unique historic and current experiences of African Americans, the determinants and solutions to African American health disparities are unique. The premise of this course is that African American health disparities are due to social injustices perpetuated on the institutional level that have permeated the lived experiences of African Americans leading to racial disparities in health and well-being. As such, the solutions on the both policy, and community, level must have a social justice approach.","['Regular', 'Pass-Fail', 'Audit']","[['DSHS', 'DVUP', 'SCIS']]",[],['AASP230-0101'],,,,,,,
8,AASP265,202308,Constructions of Manhood and Womanhood in the Black Community,AASP,African American Studies,3,Investigates the ways that African Americans are represented and constructed in public and private spheres and explores the social constructions and representations of Black manhood and womanhood from various disciplinary perspectives.,"['Regular', 'Pass-Fail', 'Audit']","[['DSHS', 'DVUP']]",[],['AASP265-0101'],,,WMST265.,,Cross-listed with: WGSS265.,,"WMST265, AASP298B, WGSS265 or AASP265."
9,AASP298C,202308,African-American History to 1865,AASP,African American Studies,3,"Survey of the principal developments in the history and culture of the peoples of African descent in colonial North America and the United States to 1865. Examines the African past, the Atlantic slave trade, variation in slavery, the growth of free black communities, the transformations of families and cultural forms, and patterns of resistance.","['Regular', 'Pass-Fail', 'Audit']",[['DVUP']],"['SH', 'D']",['AASP298C-0101'],,,,,Cross-listed with: HIST254.,,HIST254 or AASP298C.
